day,fold,T,tau_star,tau_robust,NB_star,NB_robust,NB_low90_at_robust,max_NB_point,max_NB_low90,NB_all_at_star,NB_all_at_robust,prevalence,treat_rate_star,treat_rate_rob
1,1,75,0.05,0.05,0.07805746249682177,0.07805746249682177,0.06539327290416834,0.07805746249682177,0.06539327290416834,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.21739130434782608,0.21739130434782608
1,1,100,0.05,0.05,0.017086193745232646,0.017086193745232646,0.010144166222556653,0.017086193745232646,0.010144166222556653,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.08115942028985507,0.08115942028985507
1,2,75,0.05,0.05,0.10444716442268462,0.10444716442268462,0.08984006991457408,0.10444716442268462,0.08984006991457408,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.2441860465116279,0.2441860465116279
1,2,100,0.05,0.05,0.03549571603427172,0.03549571603427172,0.026479169363325585,0.03549571603427172,0.026479169363325585,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.08139534883720931,0.08139534883720931
1,3,75,0.05,0.05,0.09169567888593078,0.09169567888593078,0.07682051210441859,0.09169567888593078,0.07682051210441859,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2227626459143969,0.2227626459143969
1,3,100,0.05,0.05,0.0310772066352652,0.0310772066352652,0.022596227908252553,0.0310772066352652,0.022596227908252553,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.09046692607003891,0.09046692607003891
1,4,75,0.05,0.05,0.09034315995266759,0.09034315995266759,0.07455649722767646,0.09034315995266759,0.07455649722767646,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.19941348973607037,0.19941348973607037
1,4,100,0.05,0.05,0.01960179039975305,0.01960179039975305,0.012896965113000992,0.01960179039975305,0.012896965113000992,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.05767350928641251,0.05767350928641251
1,5,75,0.05,0.05,0.07177974434611602,0.07177974434611602,0.05903255185861167,0.07177974434611602,0.05903255185861167,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.20943952802359883,0.20943952802359883
1,5,100,0.05,0.05,0.020286704962997462,0.020286704962997462,0.013580319855329055,0.020286704962997462,0.013580319855329055,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.08652900688298919,0.08652900688298919
2,1,75,0.05,0.05,0.10144927536231885,0.10144927536231885,0.08499493458593128,0.10144927536231885,0.08499493458593128,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2560386473429952,0.2560386473429952
2,1,100,0.05,0.05,0.0387490465293669,0.0387490465293669,0.02843038093216592,0.0387490465293669,0.02843038093216592,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.11400966183574879,0.11400966183574879
2,2,75,0.05,0.05,0.11005711954304365,0.11005711954304365,0.0925138184611412,0.11005711954304365,0.0925138184611412,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.23449612403100775,0.23449612403100775
2,2,100,0.05,0.05,0.04977560179518564,0.04977560179518564,0.03873620019436116,0.04977560179518564,0.03873620019436116,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.10077519379844961,0.10077519379844961
2,3,75,0.05,0.05,0.11166291214417366,0.11166291214417366,0.09546758064422278,0.11166291214417366,0.09546758064422278,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2519455252918288,0.2519455252918288
2,3,100,0.05,0.05,0.04449109154208478,0.04449109154208478,0.033036473579692575,0.04449109154208478,0.033036473579692575,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.10797665369649806,0.10797665369649806
2,4,75,0.05,0.05,0.11822812162370737,0.11822812162370737,0.10233806260471598,0.11822812162370737,0.10233806260471598,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.23655913978494625,0.23655913978494625
2,4,100,0.05,0.05,0.03122909914081391,0.03122909914081391,0.02141828467901004,0.03122909914081391,0.02141828467901004,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.09090909090909091,0.09090909090909091
2,5,75,0.05,0.05,0.10029498525073746,0.10029498525073746,0.08518313775271792,0.10029498525073746,0.08518313775271792,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.2182890855457227,0.2182890855457227
2,5,100,0.05,0.05,0.0303783056461212,0.0303783056461212,0.020962155263468656,0.0303783056461212,0.020962155263468656,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.09144542772861357,0.09144542772861357
3,1,75,0.05,0.05,0.11075514874141877,0.11075514874141877,0.0961667765485557,0.11075514874141877,0.0961667765485557,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.27246376811594203,0.27246376811594203
3,1,100,0.05,0.05,0.038443935926773455,0.038443935926773455,0.02884216622104146,0.038443935926773455,0.02884216622104146,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.11980676328502415,0.11980676328502415
