day,feature
1,goal_amount
1,campaign_duration
1,text_length
1,n_caratteri
1,n_parole
1,n_frasi
1,parole_per_frase
1,caratteri_per_parola
1,positive_emotions
1,negative_emotions
1,emotional_balance
1,intensita_emotiva_totale
1,densita_emotiva
1,disaster
1,category_mapBusiness
1,category_mapCommunity
1,category_mapCompetitions
1,category_mapCreative
1,category_mapEducation
1,category_mapEmergencies
1,category_mapEnvironment
1,category_mapEvents
1,category_mapFaith
1,category_mapFamily
1,category_mapFunerals & Memorials
1,category_mapMedical
1,category_mapNon-Profits & Charities
1,category_mapOther
1,"category_mapRent, Food & Monthly Bills"
1,category_mapSports
1,category_mapTravel
1,category_mapVolunteer
1,category_mapWishes
1,goal_category>50K
1,goal_category20K-50K
1,goal_category5K-20K
1,duration_category>90gg
1,duration_category30-60gg
1,duration_category60-90gg
1,pct_goal_cum_d1
1,donors_cum_d1
1,pct_goal_speed
1,donors_speed
2,goal_amount
2,campaign_duration
2,text_length
2,n_caratteri
2,n_parole
2,n_frasi
2,parole_per_frase
2,caratteri_per_parola
2,positive_emotions
2,negative_emotions
2,emotional_balance
2,intensita_emotiva_totale
2,densita_emotiva
2,disaster
2,category_mapBusiness
2,category_mapCommunity
2,category_mapCompetitions
2,category_mapCreative
2,category_mapEducation
2,category_mapEmergencies
2,category_mapEnvironment
2,category_mapEvents
2,category_mapFaith
2,category_mapFamily
2,category_mapFunerals & Memorials
2,category_mapMedical
2,category_mapNon-Profits & Charities
2,category_mapOther
2,"category_mapRent, Food & Monthly Bills"
2,category_mapSports
2,category_mapTravel
2,category_mapVolunteer
2,category_mapWishes
2,goal_category>50K
2,goal_category20K-50K
2,goal_category5K-20K
2,duration_category>90gg
2,duration_category30-60gg
2,duration_category60-90gg
2,pct_goal_cum_d1
2,pct_goal_cum_d2
2,donors_cum_d1
2,donors_cum_d2
2,pct_goal_speed
2,donors_speed
3,goal_amount
3,campaign_duration
3,text_length
3,n_caratteri
3,n_parole
3,n_frasi
3,parole_per_frase
3,caratteri_per_parola
3,positive_emotions
3,negative_emotions
3,emotional_balance
3,intensita_emotiva_totale
3,densita_emotiva
3,disaster
3,category_mapBusiness
3,category_mapCommunity
3,category_mapCompetitions
3,category_mapCreative
3,category_mapEducation
3,category_mapEmergencies
3,category_mapEnvironment
3,category_mapEvents
3,category_mapFaith
3,category_mapFamily
3,category_mapFunerals & Memorials
3,category_mapMedical
3,category_mapNon-Profits & Charities
3,category_mapOther
3,"category_mapRent, Food & Monthly Bills"
3,category_mapSports
3,category_mapTravel
3,category_mapVolunteer
3,category_mapWishes
3,goal_category>50K
3,goal_category20K-50K
3,goal_category5K-20K
3,duration_category>90gg
3,duration_category30-60gg
3,duration_category60-90gg
3,pct_goal_cum_d1
3,pct_goal_cum_d2
3,pct_goal_cum_d3
3,donors_cum_d1
3,donors_cum_d2
3,donors_cum_d3
3,pct_goal_speed
3,donors_speed
4,goal_amount
4,campaign_duration
4,text_length
4,n_caratteri
4,n_parole
4,n_frasi
4,parole_per_frase
4,caratteri_per_parola
4,positive_emotions
4,negative_emotions
4,emotional_balance
4,intensita_emotiva_totale
4,densita_emotiva
4,disaster
4,category_mapBusiness
4,category_mapCommunity
4,category_mapCompetitions
4,category_mapCreative
4,category_mapEducation
4,category_mapEmergencies
4,category_mapEnvironment
4,category_mapEvents
4,category_mapFaith
4,category_mapFamily
4,category_mapFunerals & Memorials
4,category_mapMedical
4,category_mapNon-Profits & Charities
4,category_mapOther
4,"category_mapRent, Food & Monthly Bills"
4,category_mapSports
4,category_mapTravel
4,category_mapVolunteer
4,category_mapWishes
4,goal_category>50K
4,goal_category20K-50K
4,goal_category5K-20K
4,duration_category>90gg
4,duration_category30-60gg
4,duration_category60-90gg
4,pct_goal_cum_d2
4,pct_goal_cum_d3
4,pct_goal_cum_d4
4,donors_cum_d2
4,donors_cum_d3
4,donors_cum_d4
4,pct_goal_speed
4,donors_speed
5,goal_amount
5,campaign_duration
5,text_length
5,n_caratteri
5,n_parole
5,n_frasi
5,parole_per_frase
5,caratteri_per_parola
5,positive_emotions
5,negative_emotions
5,emotional_balance
5,intensita_emotiva_totale
5,densita_emotiva
5,disaster
5,category_mapBusiness
5,category_mapCommunity
5,category_mapCompetitions
5,category_mapCreative
5,category_mapEducation
5,category_mapEmergencies
5,category_mapEnvironment
5,category_mapEvents
5,category_mapFaith
5,category_mapFamily
5,category_mapFunerals & Memorials
5,category_mapMedical
5,category_mapNon-Profits & Charities
5,category_mapOther
5,"category_mapRent, Food & Monthly Bills"
5,category_mapSports
5,category_mapTravel
5,category_mapVolunteer
5,category_mapWishes
5,goal_category>50K
5,goal_category20K-50K
5,goal_category5K-20K
5,duration_category>90gg
5,duration_category30-60gg
5,duration_category60-90gg
5,pct_goal_cum_d3
5,pct_goal_cum_d4
5,pct_goal_cum_d5
5,donors_cum_d3
5,donors_cum_d4
5,donors_cum_d5
5,pct_goal_speed
5,donors_speed
6,goal_amount
6,campaign_duration
6,text_length
6,n_caratteri
6,n_parole
6,n_frasi
6,parole_per_frase
6,caratteri_per_parola
6,positive_emotions
6,negative_emotions
6,emotional_balance
6,intensita_emotiva_totale
6,densita_emotiva
6,disaster
6,category_mapBusiness
6,category_mapCommunity
6,category_mapCompetitions
6,category_mapCreative
6,category_mapEducation
6,category_mapEmergencies
6,category_mapEnvironment
6,category_mapEvents
6,category_mapFaith
6,category_mapFamily
6,category_mapFunerals & Memorials
6,category_mapMedical
6,category_mapNon-Profits & Charities
6,category_mapOther
6,"category_mapRent, Food & Monthly Bills"
6,category_mapSports
6,category_mapTravel
6,category_mapVolunteer
6,category_mapWishes
6,goal_category>50K
6,goal_category20K-50K
6,goal_category5K-20K
6,duration_category>90gg
6,duration_category30-60gg
6,duration_category60-90gg
6,pct_goal_cum_d4
6,pct_goal_cum_d5
6,pct_goal_cum_d6
6,donors_cum_d4
6,donors_cum_d5
6,donors_cum_d6
6,pct_goal_speed
6,donors_speed
7,goal_amount
7,campaign_duration
7,text_length
7,n_caratteri
7,n_parole
7,n_frasi
7,parole_per_frase
7,caratteri_per_parola
7,positive_emotions
7,negative_emotions
7,emotional_balance
7,intensita_emotiva_totale
7,densita_emotiva
7,disaster
7,category_mapBusiness
7,category_mapCommunity
7,category_mapCompetitions
7,category_mapCreative
7,category_mapEducation
7,category_mapEmergencies
7,category_mapEnvironment
7,category_mapEvents
7,category_mapFaith
7,category_mapFamily
7,category_mapFunerals & Memorials
7,category_mapMedical
7,category_mapNon-Profits & Charities
7,category_mapOther
7,"category_mapRent, Food & Monthly Bills"
7,category_mapSports
7,category_mapTravel
7,category_mapVolunteer
7,category_mapWishes
7,goal_category>50K
7,goal_category20K-50K
7,goal_category5K-20K
7,duration_category>90gg
7,duration_category30-60gg
7,duration_category60-90gg
7,pct_goal_cum_d5
7,pct_goal_cum_d6
7,pct_goal_cum_d7
7,donors_cum_d5
7,donors_cum_d6
7,donors_cum_d7
7,pct_goal_speed
7,donors_speed
8,goal_amount
8,campaign_duration
8,text_length
8,n_caratteri
8,n_parole
8,n_frasi
8,parole_per_frase
8,caratteri_per_parola
8,positive_emotions
8,negative_emotions
8,emotional_balance
8,intensita_emotiva_totale
8,densita_emotiva
8,disaster
8,category_mapBusiness
8,category_mapCommunity
8,category_mapCompetitions
8,category_mapCreative
8,category_mapEducation
8,category_mapEmergencies
8,category_mapEnvironment
8,category_mapEvents
8,category_mapFaith
8,category_mapFamily
8,category_mapFunerals & Memorials
8,category_mapMedical
8,category_mapNon-Profits & Charities
8,category_mapOther
8,"category_mapRent, Food & Monthly Bills"
8,category_mapSports
