category_map,n,success_rate
Wishes,21,0.23809523809523808
Funerals & Memorials,280,0.21071428571428572
Events,39,0.1794871794871795
Volunteer,60,0.16666666666666666
Faith,19,0.15789473684210525
Medical,338,0.15384615384615385
Travel,27,0.14814814814814814
Other,229,0.13537117903930132
Community,214,0.1308411214953271
Education,166,0.12650602409638553
Family,409,0.12469437652811736
Emergencies,2473,0.12171451678123736
Non-Profits & Charities,9,0.1111111111111111
Creative,64,0.109375
"Rent, Food & Monthly Bills",49,0.10204081632653061
Animals,159,0.10126582278481013
Competitions,67,0.07462686567164178
Sports,92,0.06521739130434782
Business,145,0.06206896551724138
Environment,29,0.034482758620689655
