day,threshold,n,share_reaching_threshold,success_if_reached,success_if_not
1,10%,4888,0.2569558101472995,0.23328025477707007,0.09058370044052863
1,25%,4888,0.09840425531914894,0.4261954261954262,0.09462219196732471
1,50%,4888,0.027414075286415714,0.746268656716418,0.10980227177114009
1,75%,4888,0.007364975450081833,1,0.12077493816982687
2,10%,4888,0.44169394435351883,0.1843446039833256,0.08208134847929645
2,25%,4888,0.22770049099836334,0.3225516621743037,0.06966887417218542
2,50%,4888,0.08224222585924713,0.6169154228855721,0.08337048595630851
2,75%,4888,0.030891980360065466,0.9205298013245033,0.1019632678910703
3,10%,4888,0.5020458265139116,0.17318663406682966,0.080936729663106
3,25%,4888,0.28621112929623566,0.2816297355253753,0.06534823731728288
3,50%,4888,0.12274959083469722,0.5366666666666666,0.06996268656716417
3,75%,4888,0.04930441898527005,0.8755186721991701,0.08844415752098128
4,10%,4888,0.5394844517184942,0.16761471368979902,0.07996446023989338
4,25%,4888,0.3250818330605565,0.25865324103209564,0.06395877538648075
4,50%,4888,0.1503682487725041,0.48435374149659866,0.06405008427642668
4,75%,4888,0.0619885433715221,0.858085808580858,0.07895310796074155
5,10%,4888,0.561988543371522,0.16527120495085548,0.07846800560485755
5,25%,4888,0.35331423895253683,0.246670526925304,0.06200569440050617
5,50%,4888,0.17389525368248773,0.44,0.06141654284299158
5,75%,4888,0.07324058919803601,0.8156424581005587,0.0728476821192053
6,10%,4888,0.5791734860883797,0.1635464500176616,0.07729703451628585
6,25%,4888,0.37152209492635024,0.24174008810572686,0.0595703125
6,50%,4888,0.19578559738134207,0.40334378265412746,0.06003561434749428
6,75%,4888,0.08265139116202946,0.7821782178217822,0.06824264049955397
7,10%,4888,0.5932896890343698,0.16137931034482758,0.07746478873239436
7,25%,4888,0.38707037643207853,0.23678646934460887,0.05807743658210948
7,50%,4888,0.21133387888707036,0.38528557599225555,0.058106355382619976
7,75%,4888,0.09369885433715221,0.7358078602620087,0.06433408577878104
8,10%,4888,0.6029050736497545,0.15982354937224297,0.07779495105615662
