threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.5700000000000001,0.7347641860858208,0.942794547224927,0.802671965870994,0.94972067039106145,0.6104129263913824,0.9949310053506054,0.7431693989071039,340,3533,18,217
0.5800000000000001,0.7335125354778261,0.9425511197663097,0.8017742998027713,0.9495798319327731,0.6086175942549371,0.9949310053506054,0.7417943107221007,339,3533,18,218
0.64,0.7323957406335052,0.9423076923076923,0.7978491910893688,0.9597701149425287,0.599640933572711,0.9960574486060265,0.7381215469613259,334,3537,14,223
0.65,0.73114259406798765,0.942064264849075,0.7969515250211461,0.9596541786743515,0.59784560143626575,0.9960574486060265,0.736725663716814,333,3537,14,224
0.66,0.73114259406798765,0.942064264849075,0.7969515250211461,0.9596541786743515,0.59784560143626575,0.9960574486060265,0.736725663716814,333,3537,14,224
0.63,0.7310972003813311,0.942064264849075,0.7977083856824412,0.9570200573065902,0.599640933572711,0.9957758377921713,0.7373068432671082,334,3536,15,223
0.59,0.7310048811662792,0.942064264849075,0.799978967666326,0.9492957746478873,0.6050269299820467,0.9949310053506054,0.7390350877192983,337,3533,18,220
0.56,0.7309800465793923,0.942064264849075,0.803006410311506,0.9393939393939394,0.6122082585278277,0.9938045620951844,0.741304347826087,341,3529,22,216
0.6900000000000001,0.7301476266849378,0.9418208373904576,0.7930264163077435,0.9704142011834319,0.5888689407540395,0.9971838918614475,0.7329608938547487,328,3541,10,229
0.62,0.7298038209092358,0.9418208373904576,0.7975675802755136,0.9542857142857143,0.599640933572711,0.995494226978316,0.7364939360529218,334,3535,16,223
0.55,0.7297739728165104,0.9418208373904576,0.8043793262271683,0.9320652173913043,0.6157989228007181,0.9929597296536187,0.7416216216216216,343,3526,25,214
0.7000000000000001,0.7288933928201358,0.9415774099318404,0.7921287502395209,0.9703264094955489,0.5870736086175943,0.9971838918614475,0.7315436241610739,327,3541,10,230
0.68,0.7287470347442628,0.9415774099318404,0.7936424715621109,0.9648093841642229,0.5906642728904847,0.996620670233737,0.7327394209354121,329,3539,12,228
0.67,0.728631885862438,0.9415774099318404,0.7951561928847009,0.9594202898550724,0.5942549371633752,0.9960574486060265,0.7339246119733924,331,3537,14,226
0.54,0.7285447193066517,0.9415774099318404,0.8042385208202407,0.9295392953929539,0.6157989228007181,0.9926781188397634,0.7408207343412526,343,3525,26,214
0.61,0.7285155657591362,0.9415774099318404,0.7974267748685858,0.9515669515669516,0.599640933572711,0.9952126161644607,0.73568281938326,334,3534,17,223
0.7100000000000001,0.7277234127281121,0.941333982473223,0.7904742235100033,0.9730538922155688,0.5834829443447038,0.9974655026753028,0.729517396184063,325,3542,9,232
