threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.33,0.25875746864339433,0.8627069133398247,0.589837641506906,0.48582995951417,0.21543985637342908,0.964235426640383,0.2985074626865672,120,3424,127,437
0.32,0.2585353520836632,0.8602726387536515,0.5937276120666948,0.46863468634686345,0.22800718132854578,0.9594480428048437,0.30676328502415456,127,3407,144,430
0.31,0.25734077209752687,0.8573515092502434,0.5973359718126282,0.4511784511784512,0.24057450628366248,0.9540974373415939,0.31381733021077285,134,3388,163,423
0.34,0.25117711500100354,0.862950340798442,0.5846804222847687,0.4870689655172414,0.20287253141831238,0.966488313151225,0.2864385297845374,113,3432,119,444
0.3,0.2510102220583354,0.8537000973709834,0.5982513333538938,0.43125,0.24775583482944344,0.9487468318783441,0.314709236031927,138,3369,182,419
0.38,0.24983776736468338,0.8675754625121713,0.5744890937743786,0.5363128491620112,0.17235188509874327,0.976626302450014,0.26086956521739135,96,3468,83,461
0.37,0.24902855989369183,0.866601752677702,0.5761964541305531,0.5238095238095238,0.17773788150807898,0.9746550267530273,0.2654155495978552,99,3461,90,458
0.27,0.2488683699129842,0.8425024342745862,0.6091820798450078,0.3907766990291262,0.289048473967684,0.9293156857223317,0.3323013415892673,161,3300,251,396
0.39,0.24736350224603365,0.8678188899707887,0.5723593171974213,0.5406976744186046,0.16696588868940754,0.9777527457054351,0.2551440329218107,93,3472,79,464
0.29000000000000004,0.24722169784474007,0.8498052580331061,0.6005396108108217,0.41379310344827586,0.2585278276481149,0.9425513939735286,0.31823204419889506,144,3347,204,413
0.35000000000000003,0.24563974862215313,0.8634371957156767,0.580420869130854,0.4908256880733945,0.19210053859964094,0.9687411996620671,0.27612903225806457,107,3440,111,450
0.28,0.24474971864889988,0.8456669912366115,0.603443943522117,0.39841688654353563,0.2710951526032316,0.9357927344410025,0.3226495726495726,151,3323,228,406
0.36000000000000004,0.244104021231633,0.8648977604673808,0.5767245376046498,0.505,0.1813285457809695,0.97212052942833,0.26684280052840165,101,3452,99,456
0.23,0.23844096854902616,0.8154819863680624,0.6230702454665462,0.33277870216306155,0.3590664272890485,0.887074063644044,0.34542314335060453,200,3150,401,357
0.26,0.23771091227793228,0.8361733203505355,0.6077917212487746,0.36936936936936937,0.29443447037701975,0.9211489721205294,0.3276723276723277,164,3271,280,393
