day,T,NB_star_mean,NB_robust_mean,NB_low90_rob_mean,max_NB_point_mean,max_NB_low90_mean,prevalence_mean,day_next,U_now,U_next,VOI,wait_k,utility_used
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132,2,0.08726464202084415,0.1083384827847962,0.01907384076395205,1,max_NB_point_mean
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132,3,0.1083384827847962,0.11551054309056984,0.0051720603057736365,1,max_NB_point_mean
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132,4,0.11551054309056984,0.12287642998527679,0.005365886894706949,1,max_NB_point_mean
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132,5,0.12287642998527679,0.12241205295400454,-0.0024643770312722506,1,max_NB_point_mean
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132,6,0.12241205295400454,0.1239075164751089,-5.045364788956296e-4,1,max_NB_point_mean
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132,7,0.1239075164751089,0.12764986205497808,0.0017423455798691746,1,max_NB_point_mean
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132,8,0.12764986205497808,0.13054829706839674,8.984350134186598e-4,1,max_NB_point_mean
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132,9,0.13054829706839674,0.1317969382968357,-7.513587715610431e-4,1,max_NB_point_mean
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132,10,0.1317969382968357,0.1320453885843943,-0.0017515497124414008,1,max_NB_point_mean
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132,11,0.1320453885843943,0.12908352368168574,-0.004961864902708555,1,max_NB_point_mean
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132,12,0.12908352368168574,0.1320772601151557,9.937364334699512e-4,1,max_NB_point_mean
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132,13,0.1320772601151557,0.1355885173064228,0.001511257191267103,1,max_NB_point_mean
